hit_distance_sc,launch_speed,launch_angle
122.816,46.17791685292803,25
121.29599999999999,45.82029503799732,25
115.824,45.596781403665624,25
105.792,44.30040232454179,39
125.856,47.16137684398748,34
108.52799999999999,45.77559231113098,27
123.42399999999999,47.92132320071524,26
116.73599999999999,46.35672776039338,37
113.088,45.37326776933393,35
121.6,45.86499776486365,26
120.08,45.95440321859633,24
126.464,47.966025927581576,26
119.472,45.64148413053196,28
123.11999999999999,46.35672776039338,25
102.448,43.227536879749664,32
107.312,43.49575324094769,40
117.03999999999999,45.32856504246759,28
102.752,42.78050961108627,28
123.728,46.66964684845776,28
124.944,48.27894501564595,27
120.99199999999999,46.446133214126064,27
122.208,46.71434957532409,32
120.384,47.83191774698256,26
118.256,46.71434957532409,24
121.29599999999999,47.47429593205185,26
119.16799999999999,47.60840411265087,24
148.96,49.44121591417076,28
119.776,46.08851139919535,31
114.0,43.76396960214573,22
124.032,46.31202503352704,24
124.944,47.0719713902548,22
116.432,43.45105051408136,30
105.792,45.28386231560125,24
127.072,47.25078229772016,30
123.728,46.22261957979437,29
103.664,43.89807778274475,40
113.696,43.76396960214573,36
126.768,48.23424228877962,35
112.176,45.239159588734914,26
121.29599999999999,46.759052302190426,33
124.944,46.89316048278945,28
120.99199999999999,46.53553866785874,29
120.384,48.18953956191327,20
130.112,47.92132320071524,27
123.42399999999999,47.25078229772016,37
116.432,45.46267322306661,37
120.384,47.47429593205185,38
129.504,49.44121591417076,24
121.29599999999999,45.82029503799732,27
127.67999999999999,46.803755029056774,21
115.216,45.41797049620026,30
121.904,47.69780956638355,34
123.11999999999999,47.16137684398748,28
105.488,48.23424228877962,22
113.392,46.35672776039338,22
121.904,45.95440321859633,34
124.032,46.66964684845776,23
109.44,45.55207867679928,26
110.048,44.52391595887349,29
119.472,47.56370138578453,24
120.688,47.69780956638355,21
115.824,46.17791685292803,34
121.29599999999999,46.759052302190426,24
127.984,49.44121591417076,31
126.768,47.11667411712114,26
121.904,45.596781403665624,28
114.608,45.64148413053196,37
124.336,48.50245864997765,22
114.91199999999999,43.71926687527939,32
119.16799999999999,46.08851139919535,27
124.336,45.73088958426464,30
123.42399999999999,46.84845775592311,30
124.64,46.98256593652212,35
128.896,47.69780956638355,28
133.456,48.681269557443,26
118.256,45.95440321859633,27
118.86399999999999,44.792132320071524,35
120.688,44.032185963343764,25
109.744,44.434510505140814,25
115.216,47.11667411712114,20
119.16799999999999,45.46267322306661,33
121.6,47.16137684398748,35
128.288,48.18953956191327,30
129.808,47.74251229324989,27
115.824,49.4859186410371,24
118.256,49.44121591417076,38
105.488,48.010728654447924,20
111.568,46.22261957979437,39
115.216,45.46267322306661,32
125.24799999999999,45.64148413053196,31
114.304,46.17791685292803,23
109.136,44.25569959767546,26
121.29599999999999,47.92132320071524,29
128.59199999999998,46.40143048725972,27
138.928,50.64818953956191,24
120.08,47.83191774698256,35
121.6,47.34018775145284,27
129.808,48.59186410371033,26
119.776,47.51899865891819,31
126.464,46.71434957532409,22
115.216,43.00402324541797,31
120.08,45.95440321859633,32
124.336,48.681269557443,37
111.872,46.93786320965579,36
114.304,43.54045596781404,34
110.65599999999999,44.47921323200715,40
128.59199999999998,47.83191774698256,31
118.256,49.35181046043809,25
114.608,46.17791685292803,34
117.952,45.37326776933393,31
124.336,47.0719713902548,26
118.256,45.55207867679928,33
117.344,44.434510505140814,29
122.816,47.25078229772016,35
122.816,47.74251229324989,26
126.16,48.27894501564595,21
120.08,47.20607957085382,30
124.64,48.27894501564595,32
105.488,42.825212337952614,24
109.44,44.16629414394278,36
123.728,46.66964684845776,24
124.64,45.82029503799732,27
132.84799999999998,50.379973178363876,27
124.336,46.759052302190426,27
127.072,49.172999552972726,29
132.54399999999998,48.63656683057666,27
114.91199999999999,45.86499776486365,29
108.224,42.825212337952614,31
132.54399999999998,48.23424228877962,25
109.136,42.869915064818954,34
116.128,46.58024139472508,39
131.328,48.14483683504694,29
124.64,48.323647742512286,31
127.37599999999999,48.14483683504694,32
118.86399999999999,45.14975413500223,26
122.208,47.42959320518551,19
122.512,45.6861868573983,24
122.208,45.73088958426464,28
112.78399999999999,46.31202503352704,25
120.08,47.16137684398748,25
119.776,47.34018775145284,40
124.64,48.63656683057666,29
131.632,47.47429593205185,26
131.632,48.323647742512286,28
122.816,46.93786320965579,23
116.128,46.40143048725972,22
116.432,46.759052302190426,27
