hit_distance_sc,launch_speed,launch_angle
380,102.1,26
418,101.2,28
438,105.8,29
420,106.7,33
419,109.3,23
420,105.2,28
383,104.9,28
384,99.7,36
371,98.3,38
365,96.6,26
410,103.7,35
395,103.7,42
386,102.3,26
394,100.6,31
404,100.1,30
422,103.2,32
421,105.7,24
380,99.6,32
427,106,26
383,101.1,28
400,108.9,27
448,108.5,27
410,118,16
357,105.8,21
413,104.4,32
377,101.4,38
384,102.4,33
406,105.1,26
407,103,27
409,106,33
432,106.6,29
413,105.3,27
379,102.1,27
411,105,28
424,112.4,30
424,106.1,28
425,108.3,23
430,111.6,24
371,97.7,37
430,108,31
409,105.2,28
430,101.9,29
357,104.6,26
382,102.4,24
437,113.1,27
398,105.5,24
409,105.6,31
407,101.2,30
437,110.2,33
410,99.9,25
408,100.1,29
413,109,30
402,104,21
389,102,29
392,105,24
368,108.3,41
410,105.1,27
397,103.7,33
423,106.1,29
412,102.4,31
389,104,20
403,104.7,24
364,95.9,35
390,110.5,25
426,105,28
391,105.1,39
422,109,25
404,106.5,28
413,103.4,27
368,94.7,27
393,102.1,23
414,111.6,35
411,103.6,30
443,110.3,30
410,106.8,25
450,112.5,26
407,102.9,24
380,108.7,18
420,104.4,27
421,105.7,31
404,103,37
367,103.4,40
392,106.3,25
379,100,29
420,108.7,35
365,97.8,34
372,101.5,33
388,101.3,31
394,101.3,21
410,110.1,22
358,95.3,37
388,101.2,25
364,107.7,18
358,102.6,38
418,104,29
397,101.7,34
385,103.6,23
414,104.9,33
393,101.4,40
432,111.7,22
400,102.8,24
411,101.2,28
385,103.6,25
348,97.7,37
419,105.8,30
401,100.8,26
384,100.4,37
362,93.5,32
427,108.9,30
384,107.5,44
413,105.6,28
426,105.5,29
421,108.4,23
366,99.2,34
382,101.8,35
421,107,28
442,112.3,31
409,104.1,32
401,103.9,34
380,106.3,24
378,99.4,37
371,101.6,36
379,99.9,27
429,112.4,31
397,103.2,32
464,114.9,23
408,107.1,35
422,107.3,27
409,105.9,30
404,105.5,24
439,111.7,27
430,107.6,25
374,97.9,25
391,102.7,23
468,105.2,30
412,105.2,28
410,110.4,19
427,109.4,27
431,108.7,27
399,102.5,26
400,112.6,22
403,105.9,26
383,98.3,37
427,106.3,36
401,102.6,22
392,105.9,27
391,104.4,35
402,102.3,30
386,107.3,18
390,100,28
385,101.3,34
434,110.5,31
378,102,24
429,104.9,28
370,102.3,24
382,105.9,36
403,102.8,23
383,102.2,32
410,103.8,24
388,103.1,22
398,105.1,29
375,95.7,31
411,104.4,29
382,100,31
409,104.4,29
384,99.3,28
390,105.8,20
352,98.3,43
434,110.1,25
417,109.5,32
420,104.1,27
423,109.3,19
396,107.3,29
395,104.8,24
421,106.2,34
365,98,25
382,102.3,28
400,100.4,37
376,100.3,29
414,111.6,22
386,104.3,21
418,103.1,33
420,107.9,34
424,104,28
404,109.1,22
391,109.7,22
425,108.7,30
452,110.3,23
361,97.4,33
407,104.7,28
445,107,34
426,107.7,31
465,106.8,30
395,104.5,31
405,102.9,30
377,107.3,22
430,103.5,27
395,107.7,22
355,100.1,39
373,107.1,20
352,104.5,24
423,107.7,25
386,101.1,25
398,106.6,28
413,105.3,24
427,102.9,25
413,106.2,29
415,105.1,27
378,95.4,36
412,109.7,20
376,98.6,34
406,104.6,26
398,100.2,30
384,105.7,22
393,105.7,38
363,98.3,38
385,101.2,26
408,107.3,24
384,101.2,22
358,97,34
332,97.8,30
366,106,21
385,100.5,27
383,109.7,24
360,102.5,40
415,104.6,37
395,103.8,33
394,102.8,34
370,108.9,25
366,97.9,30
425,105.7,25
442,105,33
385,106.7,22
364,97.3,29
410,103.5,25
403,103.3,30
411,108.6,26
381,96,32
394,107.2,34
374,103,30
407,111.6,37
430,106.4,26
438,109.1,33
393,103.2,29
374,99.3,30
363,97.2,29
443,112.4,28
428,110.7,26
381,102.1,22
393,102.8,27
391,100.8,33
395,102.7,27
387,103.2,29
395,95.4,28
389,100.5,35
421,108.5,28
364,103,22
422,106.7,26
363,101.2,41
384,100.8,31
416,107.6,30
377,101.8,26
423,101.7,28
402,105.3,27
391,102.7,24
391,102,29
394,99,31
397,98.6,30
407,103.9,32
417,103,26
403,109,21
423,111.2,22
390,105.8,37
409,104.6,29
408,107.6,32
385,105.3,31
365,103.6,37
382,102.2,33
426,107.6,25
384,101.6,27
367,100.8,23
379,109.3,18
406,104.4,29
387,101.5,33
412,107.3,33
352,95.8,42
386,98.3,29
402,104.5,25
433,109.5,27
378,105.8,22
391,102.9,34
411,103.4,29
410,106.9,33
392,98.6,26
391,106.1,28
388,100.5,31
355,99,26
382,100.7,32
382,101.6,23
378,101.3,28
397,98.9,26
406,107.6,29
408,107.6,24
369,107.3,22
410,105.7,35
387,103.8,28
403,105.5,25
348,94.8,34
435,107.8,24
387,102.7,30
400,102.9,28
362,103,40
402,117.2,17
368,101.8,27
392,104.3,30
380,106,21
408,103.8,30
389,100.5,27
402,101.2,34
411,106.1,28
368,104.1,23
435,107.2,25
457,110.1,25
418,111.2,23
428,108,33
423,107.4,35
390,101.8,26
412,105.2,30
403,108.6,25
401,105.1,25
361,102,43
400,105.4,35
412,107.9,19
354,94.1,29
361,98.9,37
407,107.5,22
373,94.8,32
395,106.2,23
425,104.6,29
404,110.3,33
412,105.7,32
430,113,20
425,105.6,25
396,103.2,32
347,96.6,32
388,103.7,19
396,109.9,38
370,98.9,29
371,100.2,29
387,105.2,22
382,103.2,27
394,101.9,26
417,104.1,27
467,111.4,30
380,103,28
362,99,30
406,115.6,21
392,101.4,22
420,108.1,28
342,95.3,40
388,101.8,36
356,98.5,25
429,110.7,25
461,109.8,22
393,109,22
380,97.4,29
387,97.6,30
365,98.2,38
397,101.3,27
385,100.3,26
379,102.3,26
347,94.9,28
398,99.2,29
436,105.2,27
378,97.4,27
418,102.9,30
435,108.1,29
445,110.7,32
397,103.9,27
388,102.6,41
380,108,33
367,97,29
397,102,24
391,104.1,20
418,104.9,29
446,111.1,39
444,109.3,26
396,101.4,35
387,101.9,23
415,102.7,30
399,103.9,31
451,104.6,31
413,106.9,25
369,105.2,24
428,105.1,25
419,104.7,25
433,110.5,24
387,107.4,23
399,106.5,27
377,102.9,27
394,98.9,27
504,110,37
388,93.5,31
360,95.6,35
410,101.8,28
350,102.8,23
376,100.6,30
375,99.9,38
397,103.9,35
403,103.6,31
397,101.9,29
404,100.3,27
408,102.8,35
376,104.4,20
366,94.8,39
364,93,30
404,100,27
387,104,22
444,107,27
397,106.2,38
394,99.7,31
367,102,24
409,105.8,25
395,100.9,28
381,100.3,28
421,105.8,38
425,111.4,34
423,107.6,31
400,105.8,30
408,102.4,26
354,103.7,40
434,105.5,27
408,107.8,24
389,105.8,41
384,102.4,30
391,107.8,28
374,102.1,28
400,105.9,30
381,102.9,42
398,97.6,33
378,105.9,36
438,113,31
411,103.9,28
336,94.4,34
406,103.6,31
403,102.9,35
402,97,33
370,100.2,32
345,103.6,24
424,108.5,35
433,104.4,27
407,102.8,32
383,106.1,25
369,100.2,27
393,102.3,30
408,100.3,29
444,107.7,25
393,97.8,30
401,100.3,34
386,98.2,29
393,101,26
390,108.6,34
347,98.8,32
417,107.5,25
422,107,24
368,102.6,41
375,99,26
372,97.7,40
366,100.4,23
413,105.2,26
403,103.5,24
374,100.8,26
417,101.1,31
394,100.7,28
354,107,47
383,102.4,27
376,103.9,28
342,95.4,36
404,107.5,19
366,100.6,24
405,104,32
410,105,24
